Model: vit_base_patch16_224
Calibrating...
Validating...
Test: [0/10000]	Time 1.633 (1.633)	Loss 0.2319 (0.2319)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)
Test: [100/10000]	Time 0.349 (0.305)	Loss 0.0241 (0.4289)	Prec@1 100.000 (88.713)	Prec@5 100.000 (98.614)
Test: [200/10000]	Time 0.352 (0.315)	Loss 0.0032 (0.2974)	Prec@1 100.000 (92.438)	Prec@5 100.000 (98.905)
Test: [300/10000]	Time 0.327 (0.312)	Loss 1.8115 (0.3616)	Prec@1 80.000 (90.963)	Prec@5 80.000 (98.472)
Test: [400/10000]	Time 0.305 (0.310)	Loss 0.6252 (0.4718)	Prec@1 80.000 (87.332)	Prec@5 100.000 (97.855)
Test: [500/10000]	Time 0.353 (0.306)	Loss 0.1827 (0.5190)	Prec@1 100.000 (85.669)	Prec@5 100.000 (97.605)
Test: [600/10000]	Time 0.329 (0.310)	Loss 2.0377 (0.5602)	Prec@1 40.000 (84.859)	Prec@5 100.000 (97.304)
Test: [700/10000]	Time 0.308 (0.308)	Loss 0.0445 (0.6143)	Prec@1 100.000 (83.138)	Prec@5 100.000 (96.919)
Test: [800/10000]	Time 0.299 (0.307)	Loss 0.0242 (0.6224)	Prec@1 100.000 (82.647)	Prec@5 100.000 (96.904)
Test: [900/10000]	Time 0.309 (0.305)	Loss 0.0287 (0.5878)	Prec@1 100.000 (83.707)	Prec@5 100.000 (97.048)
Test: [1000/10000]	Time 0.288 (0.307)	Loss 0.0059 (0.5494)	Prec@1 100.000 (84.875)	Prec@5 100.000 (97.223)
Test: [1100/10000]	Time 0.313 (0.307)	Loss 0.9807 (0.5530)	Prec@1 80.000 (85.014)	Prec@5 80.000 (97.094)
Test: [1200/10000]	Time 0.270 (0.307)	Loss 0.0699 (0.5539)	Prec@1 100.000 (85.112)	Prec@5 100.000 (97.086)
Test: [1300/10000]	Time 0.264 (0.305)	Loss 0.0192 (0.5612)	Prec@1 100.000 (84.965)	Prec@5 100.000 (97.018)
Test: [1400/10000]	Time 0.339 (0.307)	Loss 0.3192 (0.5374)	Prec@1 80.000 (85.610)	Prec@5 100.000 (97.173)
Test: [1500/10000]	Time 0.300 (0.307)	Loss 0.1784 (0.5131)	Prec@1 100.000 (86.302)	Prec@5 100.000 (97.322)
Test: [1600/10000]	Time 0.323 (0.306)	Loss 0.0402 (0.5244)	Prec@1 100.000 (85.959)	Prec@5 100.000 (97.339)
